Marca temporal,1. Edad en años,2. Género,3. Etnia,4. Institución educativa,5. Área de residencia,6. ¿Cuenta con acceso a internet en casa?,7. ¿En qué año escolar estás actualmente?,8. ¿Qué idiomas hablas? (Selecciona todos los que apliquen),9. ¿Cuál es el nivel educativo más alto que han alcanzado tus padres o tutores? puede ser cualquiera de ellos,10. ¿En qué área de trabajo están involucrados tus padres o tutores?,11. ¿Cuál es el ingreso familiar mensual aproximado?,12. ¿Cuáles de las siguientes actividades te interesan? (Selecciona todas las que apliquen),"13. ¿Sientes la suficiente confianza al resolver ejercicios de matemáticas, razonamiento o lógica en general?",14. ¿Crees que las habilidades artísticas o las habilidades blandas pueden generar influencia en el aprendizaje en carreras de ciencias o tecnología?,15. ¿Crees tener el conocimiento para poder seguir una carrera que involucre la ciencia y la matemática?,16. ¿Cuáles de las siguientes actividades te gusta realizar?,17. ¿Qué asignaturas disfrutas más en el colegio?,18. ¿Cuál de las siguientes carreras te parece más atractiva?,19. ¿Quién influye más en tu decisión sobre qué estudiar en el futuro?,20. ¿Tus maestros te han animado a explorar temas relacionados con la ciencia o la tecnología?,21. ¿Qué opinan tus amigos sobre el estudio de disciplinas relacionadas con la tecnología o la ciencia?,22. ¿Qué tanto apoyo recibes de tu familia para estudiar temas relacionados con las matemáticas o la ciencia?,23. ¿Qué obstáculos sientes que podrías enfrentar al seguir una carrera STEAM?,24. ¿Qué sectores te interesan más para trabajar en el futuro?,25. ¿Qué tan optimista te sientes sobre tu futuro en una carrera que involucre tecnología o ciencia?,26. ¿Crees que tu carrera te brindará estabilidad económica?,27. ¿Qué esperas lograr con tu carrera en términos de impacto social o tecnológico?,28. ¿Crees que las innovaciones tecnológicas y la ciencia están mejorando la calidad de vida de las personas?,29. ¿Qué área consideras más importante para que avance tecnológicamente?,"30. ¿Cuál es la probabilidad de que selecciones una carrera relacionada con Ciencia, Tecnología, Ingeniería, Arte o Matemáticas (STEAM)?",31. ¿Qué tan informado/a te sientes sobre las diferentes opciones de carrera STEAM?
6/02/2026 8:17:30,17,Masculino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,"Español, Inglés",Postgrado,Negocio propio,$1001 - $2000,"Disfruto explorando y aprendiendo sobre seres vivos., Me interesa investigar fenómenos físicos, biológicos y/o culturales.",3,5,3,"Crear obras artísticas como pinturas, dibujos o esculturas.","Biología, Química",Investigador/a científico/a,Familia,5,Muy positivo,4,Falta de motivación,Salud,4,4,Mejorar la calidad de vida de las personas,4,Salud,5,5
6/02/2026 8:17:42,17,Masculino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,Español,Postgrado,Sector público,$501 - $1000,"Disfruto explorando y aprendiendo sobre seres vivos., Me interesa investigar fenómenos físicos, biológicos y/o culturales., Disfruto explorando temas relacionados con arte y belleza visual., Disfruto de actividades artísticas como música, teatro o literatura.",2,4,2,Aprender sobre nuevos descubrimientos científicos.,"Biología, Química, Lengua y literatura",Medicina ,Familia,5,Positivo,2,"Falta de recursos educativos, Dificultad en las materias, Falta de motivación",Salud,3,4,Mejorar la calidad de vida de las personas,5,Salud,2,2
6/02/2026 8:17:50,17,Masculino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,"Español, Inglés",Postgrado,Sector privado,$2000 - $3000,"Disfruto arreglando o construyendo cosas físicas., Encuentro fascinante la ingeniería y el diseño de soluciones., Me interesa trabajar con materiales físicos para crear arte., Disfruto explorando temas relacionados con arte y belleza visual., Disfruto de actividades artísticas como música, teatro o literatura.",2,5,4,"Diseñar y construir estructuras o dispositivos prácticos., Resolver problemas complejos de manera creativa., Compartir y recibir retroalimentación sobre tu arte.","Biología, Física, Arte, Lengua y literatura",Ingeniero/a civil,Familia,3,Neutro,3,"Falta de recursos educativos, Falta de apoyo familiar",Medio ambiente,5,5,Contribuir a la sostenibilidad,5,Salud,5,4
6/02/2026 8:18:23,18,Femenino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,"Español, Frances",Postgrado,Negocio propio,Prefiero no contestar,"Me interesa trabajar con herramientas, máquinas y equipos., Disfruto arreglando o construyendo cosas físicas., Encuentro fascinante la ingeniería y el diseño de soluciones., Disfruto de actividades artísticas como música, teatro o literatura.",4,3,4,"Resolver problemas complejos de manera creativa., Resolver problemas matemáticos y encontrar soluciones eficientes.","Matemáticas, Física, Química, Arte",Ingeniero/a civil,Nadie en particular,2,Positivo,5,Dificultad en las materias,Tecnología,3,4,Innovar y crear nuevas tecnologías,4,Salud,5,2
6/02/2026 8:18:25,17,Prefiero no decirlo,Mestiza,Privada,Rural,Sí,Tercero de bachillerato,"Español, Inglés, Kichwa",Bachillerato,Negocio propio,$2000 - $3000,"Disfruto explorando temas de ciencia ficción., Encuentro fascinantes los misterios sin resolver., Me interesa trabajar con materiales físicos para crear arte., Disfruto explorando temas relacionados con arte y belleza visual., Disfruto de actividades artísticas como música, teatro o literatura.",3,5,5,"Crear obras artísticas como pinturas, dibujos o esculturas., Compartir y recibir retroalimentación sobre tu arte., Analizar datos y realizar interpretaciones estadísticas.","Biología, Ciencias Sociales",Artista digital,Familia,2,Neutro,4,Falta de apoyo familiar,Arte,3,3,Contribuir a la sostenibilidad,3,Educación,3,3
6/02/2026 8:19:56,17,Masculino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,"Español, Inglés, Código morse ",Postgrado,Sector privado,Prefiero no contestar,"Me interesa trabajar con herramientas, máquinas y equipos., Disfruto arreglando o construyendo cosas físicas., Encuentro fascinante la ingeniería y el diseño de soluciones., Me interesa investigar fenómenos físicos, biológicos y/o culturales., Me gusta jugar ajedrez., Disfruto explorando temas de ciencia ficción., Encuentro fascinantes los misterios sin resolver., Me interesa trabajar con materiales físicos para crear arte., Disfruto de actividades artísticas como música, teatro o literatura.",4,3,4,"Analizar datos para encontrar patrones y conclusiones., Aprender sobre nuevos descubrimientos científicos., Explorar nuevas tecnologías y sus impactos., Resolver problemas usando herramientas y software tecnológico., Diseñar y construir estructuras o dispositivos prácticos., Resolver problemas complejos de manera creativa., Compartir y recibir retroalimentación sobre tu arte., Analizar datos y realizar interpretaciones estadísticas., Resolver problemas matemáticos y encontrar soluciones eficientes.","Matemáticas, Biología, Física, Química, Tecnología, Arte",Desarrollador/a de software,mi interes personal ,4,Positivo,5,Falta de motivación,Tecnología,5,5,Innovar y crear nuevas tecnologías,4,Salud,5,4
6/02/2026 8:28:49,17,Masculino,Blanca,Privada,Urbana,Sí,Tercero de bachillerato,Español,Postgrado,Sector público,$1001 - $2000,"Disfruto arreglando o construyendo cosas físicas., Me siento atraído/a por temas relacionados con mecánica y automóviles., Disfruto explorando y aprendiendo sobre seres vivos.",3,4,5,"Analizar datos para encontrar patrones y conclusiones., Aprender sobre nuevos descubrimientos científicos., Explorar nuevas tecnologías y sus impactos., Resolver problemas usando herramientas y software tecnológico.","Biología, Química, Ciencias Sociales",medicina,Nadie en particular,4,Positivo,4,no es de mi interes,Salud,3,5,Innovar y crear nuevas tecnologías,4,Salud,4,4
6/02/2026 8:28:51,17,Femenino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,Español,Universidad,Sector privado,$501 - $1000,"Me interesa investigar fenómenos físicos, biológicos y/o culturales., Disfruto explorando temas de ciencia ficción., Encuentro fascinantes los misterios sin resolver., Me interesa trabajar con materiales físicos para crear arte., Disfruto de actividades artísticas como música, teatro o literatura.",4,4,3,"Aprender sobre nuevos descubrimientos científicos., Crear obras artísticas como pinturas, dibujos o esculturas.","Biología, Física",.,Nadie en particular,4,Positivo,5,Falta de motivación,Salud,4,4,Mejorar la calidad de vida de las personas,5,Transporte,5,3
6/02/2026 8:28:52,17,Masculino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,"Español, Inglés",Universidad,Negocio propio,Prefiero no contestar,"Me interesa trabajar con herramientas, máquinas y equipos., Me siento atraído/a por temas relacionados con mecánica y automóviles., Encuentro fascinante la ingeniería y el diseño de soluciones.",4,3,4,"Aprender sobre nuevos descubrimientos científicos., Explorar nuevas tecnologías y sus impactos., Resolver problemas usando herramientas y software tecnológico., Resolver problemas matemáticos y encontrar soluciones eficientes.","Matemáticas, Biología, Física, Química, Tecnología, Lengua y literatura",Desarrollador/a de software,Familia,3,Positivo,5,Falta de motivación,Tecnología,5,4,Innovar y crear nuevas tecnologías,5,Energía,4,3
6/02/2026 8:29:10,17,Femenino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,"Español, Inglés",Postgrado,Negocio propio,Prefiero no contestar,"Disfruto explorando y aprendiendo sobre seres vivos., Me interesa trabajar con materiales físicos para crear arte., Disfruto explorando temas relacionados con arte y belleza visual., Disfruto de actividades artísticas como música, teatro o literatura.",3,4,4,"Aprender sobre nuevos descubrimientos científicos., Crear obras artísticas como pinturas, dibujos o esculturas., Analizar datos y realizar interpretaciones estadísticas.","Matemáticas, Biología, Física, Arte, Lengua y literatura",medicina veterinaria,motivacion personal,3,Positivo,4,Dificultad en las materias,veterinaria,4,5,Mejorar la calidad de vida de las personas,3,cuidado y salud para los animales,3,3
6/02/2026 8:29:31,17,Femenino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,"Español, Inglés",Universidad,Negocio propio,Menos de $500,"Me interesa trabajar con herramientas, máquinas y equipos., Disfruto explorando y aprendiendo sobre seres vivos., Me interesa investigar fenómenos físicos, biológicos y/o culturales., Encuentro fascinantes los misterios sin resolver., Me gusta leer novelas de detectives., Disfruto de actividades artísticas como música, teatro o literatura.",4,4,4,"Aprender sobre nuevos descubrimientos científicos., Explorar nuevas tecnologías y sus impactos., Resolver problemas complejos de manera creativa.","Matemáticas, Biología, Física, educacion fisica","medicina, odontología o veterinaria",Nadie en particular,5,Neutro,4,Falta de motivación,Salud,4,5,Mejorar la calidad de vida de las personas,5,Salud,4,5
6/02/2026 8:29:32,16,Femenino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,Español,Universidad,Sector público,$1001 - $2000,"Disfruto explorando y aprendiendo sobre seres vivos., Disfruto explorando temas de ciencia ficción., Encuentro fascinantes los misterios sin resolver., Me gusta leer novelas de detectives., Disfruto explorando temas relacionados con arte y belleza visual., Disfruto de actividades artísticas como música, teatro o literatura.",3,3,2,"Resolver problemas complejos de manera creativa., Crear obras artísticas como pinturas, dibujos o esculturas.","Biología, Lengua y literatura, Ciencias Sociales",Investigador/a científico/a,Nadie en particular,5,Positivo,3,Falta de recursos educativos,Salud,2,3,No estoy seguro(a),4,Energía,2,3
6/02/2026 8:29:32,17,Femenino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,"Español, Inglés",Universidad,Sector público,Menos de $500,"Disfruto explorando y aprendiendo sobre seres vivos., Me interesa investigar fenómenos físicos, biológicos y/o culturales., Me interesa trabajar con materiales físicos para crear arte., Disfruto explorando temas relacionados con arte y belleza visual., Disfruto de actividades artísticas como música, teatro o literatura.",2,4,4,"Aprender sobre nuevos descubrimientos científicos., Crear obras artísticas como pinturas, dibujos o esculturas., Compartir y recibir retroalimentación sobre tu arte.","Biología, Química, Arte",Psicologia Clinica e Ingenieria Quimica,Familia,4,Neutro,4,Dificultad en las materias,Medio ambiente,4,4,Mejorar la calidad de vida de las personas,4,Salud,4,4
6/02/2026 8:29:42,17,Masculino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,"Español, Inglés",Postgrado,Sector público,$501 - $1000,"Me interesa trabajar con herramientas, máquinas y equipos., Disfruto explorando y aprendiendo sobre seres vivos., Me interesa investigar fenómenos físicos, biológicos y/o culturales., Disfruto explorando temas relacionados con arte y belleza visual.",3,3,1,Aprender sobre nuevos descubrimientos científicos.,Biología,Medicina,Familia,3,Neutro,3,Falta de motivación,Salud,5,3,Contribuir a la sostenibilidad,5,Salud,3,1
6/02/2026 8:30:28,17,Femenino,Mestiza,Privada,Rural,Sí,Tercero de bachillerato,"Español, Inglés",Bachillerato,Sector público,$501 - $1000,Disfruto explorando y aprendiendo sobre seres vivos.,2,4,1,"Aprender sobre nuevos descubrimientos científicos., Crear obras artísticas como pinturas, dibujos o esculturas.","Biología, Lengua y literatura, Ciencias Sociales, ingles ",Investigador/a científico/a,Familia,3,Positivo,1,"Falta de apoyo familiar, Dificultad en las materias",Salud,2,4,Mejorar la calidad de vida de las personas,3,Salud,3,3
6/02/2026 8:30:50,17,Femenino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,Español,Postgrado,Sector público,$501 - $1000,Encuentro fascinantes los misterios sin resolver.,1,4,2,Aprender sobre nuevos descubrimientos científicos.,"Biología, Física, Lengua y literatura",Desarrollador/a de software,Nadie en particular,3,Positivo,3,"Dificultad en las materias, Falta de motivación",Medio ambiente,2,3,Innovar y crear nuevas tecnologías,3,Educación,3,2
6/02/2026 8:31:32,17,Masculino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,"Español, Inglés",Bachillerato,Sector privado,$1001 - $2000,Disfruto explorando y aprendiendo sobre seres vivos.,2,4,3,Analizar datos y realizar interpretaciones estadísticas.,"Física, Tecnología",Desarrollador/a de software,Familia,3,Positivo,5,Dificultad en las materias,Tecnología,2,4,Desarrollar nuevas ideas artísticas,3,Energía,4,3
6/02/2026 8:32:12,18,Masculino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,"Español, Inglés",Postgrado,Sector privado,Prefiero no contestar,"Disfruto explorando y aprendiendo sobre seres vivos., Me interesa investigar fenómenos físicos, biológicos y/o culturales., Disfruto de actividades artísticas como música, teatro o literatura.",3,3,2,"Aprender sobre nuevos descubrimientos científicos., Crear obras artísticas como pinturas, dibujos o esculturas., Compartir y recibir retroalimentación sobre tu arte.","Biología, Física, Lengua y literatura, eduacion fisica",Gastronomia,Nadie en particular,3,Neutro,4,Dificultad en las materias,Arte,3,3,Mejorar la calidad de vida de las personas,5,Salud,3,2
6/02/2026 8:34:24,16,Femenino,Blanca,Privada,Urbana,Sí,Tercero de bachillerato,Español,Universidad,Sector público,$1001 - $2000,"Disfruto explorando temas relacionados con arte y belleza visual., Disfruto de actividades artísticas como música, teatro o literatura.",3,4,2,"Crear obras artísticas como pinturas, dibujos o esculturas.",Ciencias Sociales,derecho,Nadie en particular,4,Positivo,2,Dificultad en las materias,Arte,2,5,Mejorar la calidad de vida de las personas,5,Salud,1,3
6/02/2026 8:42:58,17,Femenino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,Español,Postgrado,Negocio propio,$501 - $1000,"Disfruto explorando y aprendiendo sobre seres vivos., Me gusta leer novelas de detectives.",2,3,4,Analizar datos para encontrar patrones y conclusiones.,"Biología, Arte, Lengua y literatura",medicina ,Familia,5,Neutro,5,Falta de motivación,Salud,4,5,Mejorar la calidad de vida de las personas,5,Salud,5,3
6/02/2026 8:43:18,17,Masculino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,"Español, Inglés",Postgrado,Sector privado,$2000 - $3000,Disfruto explorando temas de ciencia ficción.,2,4,2,Compartir y recibir retroalimentación sobre tu arte.,"Biología, Tecnología, Ingles",Militar,Familia,2,Neutro,2,Dificultad en las materias,Fuerzas Armadas,2,5,No estoy seguro(a),5,Energía,2,3
6/02/2026 8:43:32,17,Masculino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,"Español, Inglés",Universidad,Negocio propio,Más de $3000,"Me interesa trabajar con herramientas, máquinas y equipos., Encuentro fascinante la ingeniería y el diseño de soluciones.",4,2,5,"Analizar datos para encontrar patrones y conclusiones., Analizar datos y realizar interpretaciones estadísticas.","Matemáticas, Emprendimiento",Negocios Internacionales,Nadie en particular,3,Neutro,5,Falta de motivación,Negocios,2,5,Mejorar la calidad de vida de las personas,5,Educación,1,4
6/02/2026 8:43:43,17,Femenino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,Español,Universidad,Sector privado,Prefiero no contestar,"Me interesa investigar fenómenos físicos, biológicos y/o culturales., Encuentro fascinantes los misterios sin resolver.",2,4,2,Explorar nuevas tecnologías y sus impactos.,"Química, Lengua y literatura, Ciencias Sociales",derecho,Nadie en particular,3,Positivo,3,Dificultad en las materias,leyes,2,4,Mejorar la calidad de vida de las personas,4,Salud,2,2
6/02/2026 8:43:44,17,Masculino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,Español,Universidad,Sector público,$501 - $1000,"Disfruto explorando y aprendiendo sobre seres vivos., Me interesa investigar fenómenos físicos, biológicos y/o culturales., Me interesa trabajar con materiales físicos para crear arte.",2,3,2,Aprender sobre nuevos descubrimientos científicos.,"Biología, Química, Ciencias Sociales",Investigador/a científico/a,Nadie en particular,4,Neutro,1,Dificultad en las materias,Medio ambiente,3,4,Mejorar la calidad de vida de las personas,4,Salud,2,3
6/02/2026 8:43:47,17,Femenino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,"Español, Inglés, Portugués",Universidad,Sector público,$501 - $1000,"Disfruto arreglando o construyendo cosas físicas., Disfruto explorando y aprendiendo sobre seres vivos., Me interesa investigar fenómenos físicos, biológicos y/o culturales., Disfruto explorando temas de ciencia ficción., Encuentro fascinantes los misterios sin resolver., Me interesa trabajar con materiales físicos para crear arte., Disfruto explorando temas relacionados con arte y belleza visual., Disfruto de actividades artísticas como música, teatro o literatura.",3,5,4,"Aprender sobre nuevos descubrimientos científicos., Compartir y recibir retroalimentación sobre tu arte.","Biología, Física, Química, Arte",Enfermera,Familia,5,Positivo,5,Falta de recursos educativos,Salud,4,5,Mejorar la calidad de vida de las personas,5,Salud,5,4
6/02/2026 8:43:49,17,Femenino,Mestiza,Privada,Rural,Sí,Tercero de bachillerato,Español,Bachillerato,Sector público,Prefiero no contestar,Disfruto explorando y aprendiendo sobre seres vivos.,2,4,2,"Crear obras artísticas como pinturas, dibujos o esculturas.",Biología,Artista digital,Familia,5,Positivo,4,"Dificultad en las materias, Falta de motivación",Salud,3,4,Mejorar la calidad de vida de las personas,4,Energía,1,1
6/02/2026 8:43:51,17,Femenino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,Español,Postgrado,Sector privado,$501 - $1000,Disfruto explorando temas relacionados con arte y belleza visual.,2,2,1,Compartir y recibir retroalimentación sobre tu arte.,"Arte, ninguna",ninguno,Nadie en particular,1,Neutro,5,"Dificultad en las materias, Falta de motivación",Arte,3,5,No estoy seguro(a),4,Medio ambiente,4,1
6/02/2026 8:44:08,17,Masculino,Mestiza,Privada,Rural,Sí,Tercero de bachillerato,Español,Postgrado,Negocio propio,$1001 - $2000,Me siento atraído/a por temas relacionados con mecánica y automóviles.,3,4,1,"Aprender sobre nuevos descubrimientos científicos., Diseñar y construir estructuras o dispositivos prácticos.",Química,fuerzas armadas,Nadie en particular,4,Neutro,2,Dificultad en las materias,Tecnología,3,4,Desarrollar nuevas ideas artísticas,4,Transporte,1,1
